NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
202;Expediente Anulado;1;Expediente Anulado
100;Fin de procedimiento;1;Fin proc.
161;Denegación de Modificación de Resolución de Autorización;0;Denegación Modificación Resol. Autorización
60;Modificación Resolución de Autorización;0;Modificación Resol. Autorización
55;Inadmisión de la solicitud;0;Inadm. sol.
52;Resolución de Desistimiento;0;Resol. Desist.
51;Resolución Desfavorable;0;Resol. Desfavorable
50;Resolución de Concesión;0;Resol. Conce.
43;Propuesta de Resolución Desfavorable;0;Prop. Resol. Desfavorable
42;Propuesta de Resolución Favorable;0;Prop. Resol. Favorable
10;Requerimiento documentación solicitud;0;Req. doc. sol.
1;Presentación de solicitud;0;Present. sol.
