NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
82;2º Pago;0;2º Pag.
82;1º Pago;0;1º Pag.
55;Resolución de Inadmisión;0;Resol. Inadm.
52;Resolucion Desistimiento;0;Resol. Desist.
51;Resolucion Desfavorable;0;Resol. Desfavorable
50;Resolucion Favorable;0;Resol. Favorable
41;Propuesta de Resolucion Desfavorable Provisional;0;Prop. Resol. Desfavorable Provis.
40;Propuesta de Resolucion Favorable Provisional;0;Prop. Resol. Favorable Provis.
35;Presentación de Informes ;0;Present. Inf.s 
30;Evaluación de la solicitud;0;Eval. sol.
10;Requerimiento de documentación;0;Req. doc.
1;Presentación de solicitud de Subvención;0;Present. sol. Subvención
