NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
52;Resolución de Desistimiento;1;Resol. Desist.
122;Aviso a empresa y trabajadores;0;Aviso empresa trabajadores
57;Archivo del Expediente;0;Archivo Expediente
51;Resolución Denegatoria;0;Resol. Deneg.
50;Resolución Favorable;0;Resol. Favorable
35;Solicitud de informe a ITSS;0;Sol. informe ITSS
35;Aviso a TGSS;0;Aviso TGSS
10;Requerimiento de Subsanación;0;Req. Subsanación
1;Presentación de solicitud;0;Present. sol.
