NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
309;Lista de Espera;0;Lista Espera
284;Propuesta de Resolución de procedimiento;0;Prop. Resol. proc.
242;Valoración Solicitud;0;Valoración Sol.
220;Recurso de Reposición;0;Recur. Reposición
203;Modificación de la solicitud;0;Modificación sol.
60;Modificación de la Resolución Aprobatoria;0;Modificación la Resol. Aprobatoria
52;Resolución Desistimiento;0;Resol. Desist.
51;Resolución Desestimatoria;0;Resol. Desest.
50;Resolución de Concesión;0;Resol. Conce.
30;Evaluación de solicitud;0;Eval. sol.
10;Requerimiento de documentación;0;Req. doc.
1;Presentación de solicitud de Subvención;0;Present. sol. Subvención
