NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
100;Fin de procedimiento;1;Fin procedimiento
295;Seguimiento y Control;0;Seguimiento Control
286;Presentación Solicitud Desistimiento;0;Present. Sol. Desist.
156;Inicio procedimiento de reintegro;0;Inic. procedimiento reintegro
155;Propuesta Resolución de inadmisión;0;Prop. Res. inadmisión
152;Propuesta de Resolución de Desistimiento;0;Prop. Res. Desist.
90;Presentacion de Recurso de Alzada;0;Present. Rec. Alzada
82;Pago;0;Pg.
56;Resolución por la que se acuerda el Reintegro;0;Res. la que se acuerda Reintegro
55;Resolución de inadmisión;0;Res. inadmisión
53;Resolución de Renuncia;0;Res. Renuncia
52;Resolución de Desistimiento;0;Res. Desist.
51;Resolución de Denegación;0;Res. Denegación
51;Resolución Denegatoria por Agotamiento de Crédito;0;Res. Deneg. Agotamiento Crédito
50;Resolución de Concesión;0;Res. Conc.
43;Propuesta Definitiva Resolución Denegatoria Incumplimiento de Requisitos;0;Prop. Def. Res. Deneg. Incumplimiento Req.
43;Propuesta de Resolución Denegatoria por Agotamiento de Crédito;0;Prop. Res. Deneg. Agotamiento Crédito
42;Propuesta Definitiva de Resolución Aprobatoria;0;Prop. Def. Res. Aprobatoria
41;Propuesta Provisional de Resolución Desfavorable;0;Prop. Prov. Res. Desfavorable
40;Propuesta Provisional de Resolución Favorable;0;Prop. Prov. Res. Favorable
30;Evaluacion de solicitud;0;Evaluacion solicitud
25;Trámite de audiencia;0;Trám. audiencia
21;Presentación de Renuncia;0;Present. Renuncia
10;Requerimiento documentación solicitud;0;Req. documentación solicitud
1;Presentación de solicitud;0;Present. solicitud
