NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
286;Presentación Solicitud Desistimiento;0;Present. Sol. Desist.
265;Inscripción en Registro;0;Inscripción Reg.
52;Resolución de Desistimiento;0;Resol. Desist.
51;Resolución de Denegación;0;Resol. Denegación
50;Resolución Aprobatoria;0;Resol. Aprobatoria
30;Evaluación de la solicitud;0;Eval. sol.
25;Tramite de Audiencia;0;Tramite Audi.
10;Requerimiento de documentación;0;Req. doc.
1;Presentación de Solicitud;0;Present. Sol.
