NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
57;Archivo de expediente;1;Archivo expediente
309;Lista de Reserva;0;Lista Reserva
283;Propuesta Resolución de Pérdida Total - Incuplimiento Total;0;Prop. Resol. Pérd. Total - Incuplimiento Total
283;Propuesta Resolución de Abono Parcial;0;Prop. Resol. Abo. Parcial
278;Resolución de Pérdida Total - Incuplimiento Total;0;Resol. Pérd. Total - Incuplimiento Total
278;Resolución de Abono Parcial;0;Resol. Abo. Parcial
236;Requerimiento de Duplicidad;0;Req. Duplicidad
225;Estimación de Recurso de Alzada;0;Estimación Recur. Alzada
224;Desestimación de Recurso de Alzada;0;Desestimación Recur. Alzada
100;Fin de procedimiento;0;Fin proc.
90;Presentación de Recurso de Alzada;0;Present. Recur. Alzada
82;Certificado de cumplimiento y Pago al beneficiario;0;Certificado cumplimiento Pag. beneficiario
55;Diligencia de duplicidad de expediente;0;Diligencia duplicidad expediente
55;Resolución de Inadmisión;0;Resol. Inadm.
52;Resolución de desistimiento (Anticipo);0;Resol. desistimiento (Anticipo)
52;Resolución de Aceptación de Desistimiento voluntario;0;Resol. Aceptación Desist. voluntario
52;Resolución de Aceptación de Renuncia;0;Resol. Aceptación Renun.
52;Resolución de desistimiento;0;Resol. desistimiento
52;Resolución de desistimiento por Duplicidad;0;Resol. desistimiento Duplicidad
51;Resolucion Desestimatoria por incumplimiento de requisitos (Anticipo);0;Resol. Desest. incumplimiento requisitos (Anticipo)
51;Resolucion Desestimatoria por falta de crédito;0;Resol. Desest. falta crédito
51;Resolucion Desestimatoria por incumplimiento de requisitos;0;Resol. Desest. incumplimiento requisitos
50;Resolución de Concesión;0;Resol. Conce.
50;Resolución de Concesión tras Recurso de Alzada;0;Resol. Conce. tras Recur. Alzada
50;Resolución de Concesión  (Anticipo);0;Resol. Conce. (Anticipo)
50;Resolución ampliación de plazo;0;Resol. ampliación plazo
43;Propuesta de Resolucion Desestimatoria por falta de crédito;0;Prop. Resol. Desest. falta crédito
43;Propuesta Resolucion Desestimatoria por incumplimiento de requisitos (Anticipo);0;Prop. Resol. Desest. incumplimiento requisitos (Anticipo)
43;Propuesta de Resolucion Desestimatoria por incumplimiento de requisitos;0;Prop. Resol. Desest. incumplimiento requisitos
42;Propuesta Resolución de Abono Total;0;Prop. Resol. Abo. Total
42;Propuesta Resolución Concesión (Anticipo);0;Prop. Resol. Conce. (Anticipo)
42;Propuesta Resolución ampliación de plazo;0;Prop. Resol. ampliación plazo
42;Propuesta de Resolución de Concesión tras Recurso de Alzada;0;Prop. Resol. Conce. tras Recur. Alzada
42;Propuesta Resolución Concesión;0;Prop. Resol. Conce.
30;Evaluación de solicitud (Abono);0;Eval. sol. (Abo.)
30;Evaluación de solicitud;0;Eval. sol.
30;Evaluación de solicitud tras Recurso de Alzada;0;Eval. sol. tras Recur. Alzada
25;Tramite de Audiencia;0;Tramite Audi.
25;Tramite de Audiencia - Inadmisión;0;Tramite Audi. - Inadm.
25;Tramite de Audiencia (Anticipo);0;Tramite Audi. (Anticipo)
25;Trámite de audiencia (Abono);0;Trám. audiencia (Abo.)
10;Requerimiento de documentación (Anticipo);0;Req. doc. (Anticipo)
10;Requerimiento de documentación (Abono);0;Req. doc. (Abo.)
10;Requerimiento de Justificación de Abono;0;Req. Justif. Abo.
10;Requerimiento de documentación;0;Req. doc.
1;Presentación y Revisión de la solicitud;0;Present. Revisión sol.
1;Solicitud Anticipo;0;Sol. Anticipo
1;Presentación de Solicitud de Abono;0;Present. Sol. Abo.
