NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
100;Fin de procedimiento;1;Fin procedimiento
43;Propuesta Definitiva Resolución Denegatoria Incumplimiento de Requisitos;1;Prop. Def. Res. Deneg. Incumplimiento Req.
287;Seguimiento y Control;0;Seguimiento Control
286;Presentacion solicitud de desistimiento;0;Present. solicitud desistimiento
155;Propuesta de resolucion de inadmision;0;Prop. res. inadmision
152;Propuesta de desistimiento;0;Prop. desistimiento
55;Resolucion de inadmision;0;Res. inadmision
52;Resolucion de desistimiento;0;Res. desistimiento
51;Resolucion desestimatoria por incumplimiento de requisitos;0;Res. desestimatoria incumplimiento requisitos
51;Resolucion desestimatoria falta de presupuesto;0;Res. desestimatoria falta presupuesto
50;Resolucion concesion;0;Res. concesion
43;Propuesta desestimatoria falta de presupuesto;0;Prop. desestimatoria falta presupuesto
42;Propuesta de resolucion concesion;0;Prop. res. concesion
41;Propuesta Provisional de Resolución Desfavorable;0;Prop. Prov. Res. Desfavorable
40;Propuesta Provisional de Resolución Favorable;0;Prop. Prov. Res. Favorable
30;Evaluacion de solicitud;0;Evaluacion solicitud
25;Propuesta desestimatoria incumplimiento requisitos (Tramite audiencia);0;Prop. desestimatoria incumplimiento requisitos (Tramite audiencia)
10;Requerimiento documentacion de solicitud;0;Req. documentacion solicitud
1;Presentacion de solicitud;0;Present. solicitud
