NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
57;Resolución de archivo;0;Resol. archivo
55;Resolución de inadmisión;0;Resol. inadmisión
52;Resolución de desistimiento;0;Resol. desistimiento
51;Resolución denegatoria;0;Resol. denegatoria
50;Resolución aprobatoria;0;Resol. aprobatoria
42;Propuesta de resolución;0;Prop. res.
30;Evaluación de solicitud;0;Eval. sol.
10;Requerimiento documentación solicitud;0;Req. doc. sol.
1;Presentación de solicitud;0;Present. sol.
