NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
52;Resolución Desistimiento;1;Resol. Desist.
279;Justificación final;0;Justif. final
278;Resolucion de Pérdida de Derecho al Cobro;0;Resol. Pérd. Dere. Cobr.
270;Modificación Resolución Desfavorable;0;Modificación Resol. Desfavorable
266;Revision Documentacion / Seguimiento Proyectos;0;Revision Documentacion / Seguimiento Proyectos
255;Propuesta Organo Instructor;0;Prop. Organo Instructor
251;Informe de Servicios Centrales;0;Inf. Servicios Centrales
242;Valoración de proyectos;0;Valoración proyectos
160;Solicitud modificación resolución;0;Sol. modificación res.
156;Procedimiento de reintegro;0;proc. reintegro
82;Pago;0;Pag.
60;Modificación Resolución Favorable;0;Modificación Resol. Favorable
53;Resolución de renuncia total;0;Resol. renuncia total
50;Resolución Definitiva;0;Resol. Defin.
42;Propuesta Resolución Definitiva;0;Prop. Resol. Defin.
42;Propuesta Modificación Resolución Concesión;0;Prop. Modificación Resol. Conce.
40;Propuesta de Resolución Provisional;0;Prop. Resol. Provis.
25;Trámite de audiencia en Pérdida de Derecho al Cobro;0;Trám. audiencia Pérd. Dere. Cobr.
21;Presentación de renuncia total;0;Present. renuncia total
10;Requerimiento de Documentación de Solicitud;0;Req. Doc. Sol.
1;Presentación de Solicitud;0;Present. Sol.
