NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
265;Inscripción en el registro;0;Inscripción el registro
90;Recurso de Alzada;0;Recur. Alzada
55;Inadmisión de solicitud;0;Inadm. sol.
52;Resolución de Archivo;0;Resol. Archivo
51;Resolución Desfavorable;0;Resol. Desfavorable
50;Resolución de Autorización;0;Resol. Autorización
41;Propuesta de Resolución Denegatoria;0;Prop. Resol. Deneg.
40;Propuesta de Resolución de Autorización;0;Prop. Resol. Autorización
26;Información Pública;0;Información Pública
10;Requerimiento documentación solicitud;0;Req. doc. sol.
1;Presentación de solicitud;0;Present. sol.
