NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
286;Presentación solicitud de desistimiento;0;Present. sol. desistimiento
155;Propuesta de resolución de inadmisión;0;Prop. res. inadmisión
152;Propuesta de desistimiento;0;Prop. desistimiento
55;Resolución de inadmisión;0;Resol. inadmisión
52;Resolución de desistimiento;0;Resol. desistimiento
51;Resolución desestimatoria falta de presupuesto;0;Resol. desest. falta presupuesto
51;Resolución desestimatoria por incumplimiento de requisitos;0;Resol. desest. incumplimiento requisitos
50;Resolución concesión;0;Resol. concesión
43;Propuesta desestimatoria falta de presupuesto;0;Prop. desest. falta presupuesto
42;Propuesta de resolución concesión;0;Prop. res. concesión
30;Evaluación de solicitud;0;Eval. sol.
25;Propuesta desestimatoria incumplimiento requisitos (Trámite audiencia);0;Prop. desest. incumplimiento requisitos (Trám. audiencia)
10;Requerimiento documentación de solicitud;0;Req. doc. sol.
1;Presentación de solicitud;0;Present. sol.
