NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
505;Recursos y otros expedientes relacionados;0;Recur.s otros expedientes relacionados
478;Participación como órgano sustantivo en EIA;0;Participación como órgano sustantivo EIA
386;Informe-Propuesta de Servicios Centrales;0;Inf.-Prop. Servicios Centrales
343;Requerimiento de informes a otras unidades;0;Req. informes otras unidades
293;Informe del técnico responsable del expediente;0;Inf. técnico responsable expediente
152;Propuesta de resolución de desistimiento;0;Prop. res. desistimiento
100;Fin de Procedimiento;0;Fin proc.
55;Resolución de Inadmisión ó acuerdo acumulación de expedientes;0;Resol. Inadm. ó acuerdo acumulación expedientes
52;Resolución de desistimiento;0;Resol. desistimiento
51;Resolución Desfavorable o Parcialmente Aprobatoria de la Dirección General;0;Resol. Desfavorable o Parcialmente Aprobatoria la Dirección General
50;Resolución Aprobatoria de la Dirección General;0;Resol. Aprobatoria la Dirección General
43;Propuesta Desfavorable o Parcialmente aprobatoria del Servicio Provincial;0;Prop. Desfavorable o Parcialmente aprobatoria Servicio Provincial
42;Propuesta Favorable Servicio Provincial;0;Prop. Favorable Servicio Provincial
10;Subsanaciones de la provincia;0;Subsanaciones la provincia
10;Requerimiento de documentación;0;Req. doc.
1;Presentación de la solicitud;0;Present. sol.
