NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
57;Archivo de expediente;1;Archivo expediente
42;Propuesta Resolución Estimatoria de Concesión tras Alegaciones;1;Prop. Resol. Estim. Conce. tras Alegaciones
41;Propuesta Resolución Desestimatoria tras Alegaciones Incumpl. Requisitos;1;Prop. Resol. Desest. tras Alegaciones Incumpl. Req.
302;Visita de obra (abono);0;Visita obra (abono)
302;Visita de obra;0;Visita obra
100;Fin de Procedimiento;0;Fin proc.
90;Inicio Expediente Pérdida Derecho Cobro Total - Falta Documentación ;0;Inic. Expediente Pérd. Dere. Cobr. Total - Falt. Doc. 
90;Inicio Expediente Pérdida Derecho Cobro Total - Incump. Req.;0;Inic. Expediente Pérd. Dere. Cobr. Total - Incump. Req.
90;Revocación de Resolución;0;Revocación Resol.
90;Inicio Expediente Pérdida Derecho Cobro Parcial;0;Inic. Expediente Pérd. Dere. Cobr. Parcial
90;Inicio Expediente Pérdida Subvención;0;Inic. Expediente Pérd. Subvención
82;Trámite de Pago al Beneficiario;0;Trám. Pag. Beneficiario
55;Duplicidad de Expediente;0;Duplicidad Expediente
53;Resolución Aceptación de Renuncia al Abono;0;Resol. Aceptación Renun. Abo.
53;Resolución Aceptación de Renuncia;0;Resol. Aceptación Renun.
53;Propuesta Resolución Aceptación de Renuncia al Abono;0;Prop. Resol. Aceptación Renun. Abo.
53;Propuesta Resolución Aceptación de Renuncia;0;Prop. Resol. Aceptación Renun.
51;Resolución Inadmisión a trámite - Fuera de Plazo;0;Resol. Inadm. trámite - Fuera Plazo
51;Resolución Inadmisión a trámite - Defecto Forma;0;Resol. Inadm. trámite - Defecto Forma
51;Resolución Pérdida Derecho Cobro Parcial;0;Resol. Pérd. Dere. Cobr. Parcial
51;Resolución Desistimiento - Falta Documentación;0;Resol. Desist. - Falt. Doc.
51;Resolución Pérdida Derecho Cobro - Falta Documentación ;0;Resol. Pérd. Dere. Cobr. - Falt. Doc. 
51;Resolución Inadmisión a trámite - No objeto;0;Resol. Inadm. trámite - No objeto
51;Resolución Desestimatoria - Incumplimiento de Requisitos (abono);0;Resol. Desest. - Incumplimiento Req. (abono)
51;Resolución Pérdida Derecho Cobro - Incump. Req.;0;Resol. Pérd. Dere. Cobr. - Incump. Req.
51;Comunicación de Resolución Desestimatoria - Falta de Presupuesto;0;Comunicación Resol. Desest. - Falt. Presupuesto
51;Resolución de Pérdida de Subvención;0;Resol. Pérd. Subvención
51;Comunicación de Resolución Desestimatoria - Incumplimiento de Requisitos;0;Comunicación Resol. Desest. - Incumplimiento Req.
51;Resolución Desistimiento - Falta Documentación (abono);0;Resol. Desist. - Falt. Doc. (abono)
50;Comunicación de Resolución Estimatoria de Concesión;0;Comunicación Resol. Estim. Conce.
50;Resolución Estimatoria Abono Pérdida Parcial ;0;Resol. Estim. Abo. Pérd. Parcial 
50;Resolución Estimatoria de Abono;0;Resol. Estim. Abo.
42;Propuesta Resolución Estimatoria Provisional de Concesión;0;Prop. Resol. Estim. Provis. Conce.
42;Propuesta Resolución Estimatoria de Abono;0;Prop. Resol. Estim. Abo.
42;Propuesta Resolución Estimatoria Abono Pérdida Parcial;0;Prop. Resol. Estim. Abo. Pérd. Parcial
41;Propuesta Resolución Desistimiento - Falta Documentación;0;Prop. Resol. Desist. - Falt. Doc.
41;Propuesta Resolución Inadmisión a trámite - Fuera de Plazo;0;Prop. Resol. Inadm. trámite - Fuera Plazo
41;Propuesta Resolución Desestimatoria Provisional - Incumplimiento de Requisitos;0;Prop. Resol. Desest. Provis. - Incumplimiento Req.
41;Propuesta Resolución Desistimiento - Falta Documentación (abono);0;Prop. Resol. Desist. - Falt. Doc. (abono)
41;Propuesta Resolución Inadmisión a trámite - No objeto;0;Prop. Resol. Inadm. trámite - No objeto
41;Propuesta resolución Inadmisión a trámite - Defecto Forma;0;Prop. res. Inadm. trámite - Defecto Forma
41;Propuesta Resolución Desestimatoria - Incumplimiento de Requisitos (abono);0;Prop. Resol. Desest. - Incumplimiento Req. (abono)
41;Propuesta Resolución de Pérdida de Subvención;0;Prop. Resol. Pérd. Subvención
41;Propuesta Resolución Pérdida Derecho Cobro - Incump. Req.;0;Prop. Resol. Pérd. Dere. Cobr. - Incump. Req.
41;Propuesta Resolución Pérdida Derecho Cobro Parcial ;0;Prop. Resol. Pérd. Dere. Cobr. Parcial 
41;Propuesta Resolución Pérdida Derecho Cobro - Falta Documentación ;0;Prop. Resol. Pérd. Dere. Cobr. - Falt. Doc. 
30;Evaluación de solicitud;0;Eval. sol.
30;Evaluación de solicitud (abono);0;Eval. sol. (abono)
25;Trámite de Audiencia;0;Trám. Audi.
25;Requerimiento/Tramite de Audiencia - No Objeto;0;Req./Tramite Audi. - No Objeto
25;Trámite de Audiencia (abono);0;Trám. Audi. (abono)
15;Presentacion de alegaciones;0;Present. alegaciones
10;Requerimiento de documentación (abono);0;Req. doc. (abono)
10;Requerimiento de Presentación de Justificación;0;Req. Present. Justif.
10;Requerimiento de documentación;0;Req. doc.
1;Presentación de solicitud;0;Present. sol.
1;Solicitud de Abono;0;Sol. Abo.
