NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
52;Resolución Desistimiento;1;Resol. Desist.
279;Justificación final;0;Justif. final
278;Resolucion de Pérdida de Derecho al Cobro (NO INICIO);0;Resol. Pérd. Dere. Cobr. (NO INICIO)
266;Revision Documentacion / Seguimiento Proyectos;0;Revision Documentacion / Seguimiento Proyectos
255;Propuesta Organo Instructor;0;Prop. Organo Instructor
251;Informe de Servicios Centrales;0;Inf. Servicios Centrales
242;Valoración de proyectos;0;Valoración proyectos
156;Procedimiento de reintegro;0;proc. reintegro
155;Propuesta de Resolución de Inadmisión;0;Prop. Resol. Inadm.
82;Pago;0;Pag.
63;Resolución de Inadmisión;0;Resol. Inadm.
53;Resolución de renuncia;0;Resol. renuncia
51;Resolución Denegatoria;0;Resol. Deneg.
50;Resolución Definitiva;0;Resol. Defin.
42;Propuesta Resolución Definitiva;0;Prop. Resol. Defin.
40;Propuesta de Resolución Provisional;0;Prop. Resol. Provis.
25;Trámite de audiencia en Pérdida de Derecho al Cobro (NO INICIO);0;Trám. audiencia Pérd. Dere. Cobr. (NO INICIO)
21;Presentación de renuncia;0;Present. renuncia
10;Requerimiento de Documentación de Solicitud;0;Req. Doc. Sol.
1;Presentación de Solicitud;0;Present. Sol.
