NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin procedimiento;1;Fin proc.
309;Lista de Reserva;0;Lista Reserva
290;Plaza Asignada;0;Plaza Asignada
224;Desestimación al Recurso;0;Desestimación Recur.
223;Estimación al Recurso;0;Estimación Recur.
220;Recurso;0;Recur.
55;Resolución de Inadmisión;0;Resol. Inadm.
52;Resolución Desistimiento;0;Resol. Desist.
51;Resolución Denegatoria;0;Resol. Deneg.
50;Resolución aprobatoria Condicionada;0;Resol. aprobatoria Condicionada
50;Resolución aprobatoria;0;Resol. aprobatoria
43;Propuesta Denegatoria;0;Prop. Deneg.
30;Comprobación de Requisitos;0;Comprob. Req.
21;Renuncia;0;Renun.
21;Renuncia Justificada;0;Renun. Jusif.a
10;Requerimiento Documentación;0;Req. Doc.
1;Presentación de solicitud;0;Present. sol.
