NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
82;Primer Pago ordinario;1;Primer Pag. ordinario
21;Presentación de renuncia;1;Present. renuncia
286;Presentación solicitud de desistimiento;0;Present. sol. desistimiento
242;Valoración de la solicitud;0;Valoración sol.
155;Propuesta de Inadmisión;0;Prop. Inadm.
82;Pago primer anticipo 35%;0;Pag. primer anticipo 35%
70;Primera justificacion;0;Primera justificacion
55;Resolución de Inadmisión;0;Resol. Inadm.
52;Resolución de desistimiento;0;Resol. desistimiento
51;Resolución Denegatoria;0;Resol. Deneg.
50;Resolución Aprobatoria;0;Resol. Aprobatoria
43;Propuesta Definitiva Denegatoria;0;Prop. Defin. Deneg.
42;Propuesta Definitiva Aprobatoria;0;Prop. Defin. Aprobatoria
41;Propuesta Provisional Denegatoria;0;Prop. Provis. Deneg.
40;Propuesta Provisional Aprobatoria;0;Prop. Provis. Aprobatoria
30;Evaluación de la solicitud;0;Eval. sol.
10;Requerimiento de documentación;0;Req. doc.
1;Presentación de solicitud;0;Present. sol.
1;Solicitud Primer Anticipo;0;Sol. Primer Anticipo
