NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
55;Diligencia de duplicidad de expediente;1;Diligencia duplicidad expediente
52;Resolución de Aceptación de Desistimiento voluntario;1;Resol. Aceptación Desist. voluntario
283;Propuesta Resolución de Pérdida Total - Incuplimiento Total;0;Prop. Resol. Pérd. Total - Incuplimiento Total
283;Propuesta Resolución de Abono Parcial;0;Prop. Resol. Abo. Parcial
278;Resolución de Abono Parcial;0;Resol. Abo. Parcial
278;Resolución de Pérdida Total - Incuplimiento Total;0;Resol. Pérd. Total - Incuplimiento Total
236;Requerimiento de Duplicidad;0;Req. Duplicidad
82;Certificado de cumplimiento y Pago al beneficiario;0;Certificado cumplimiento Pag. beneficiario
52;Resolución de desistimiento (Anticipo);0;Resol. desistimiento (Anticipo)
52;Resolución de desistimiento por Duplicidad;0;Resol. desistimiento Duplicidad
52;Resolución de Aceptación de Renuncia;0;Resol. Aceptación Renun.
50;Resolución de Concesión;0;Resol. Conce.
42;Propuesta Resolución de Abono Total;0;Prop. Resol. Abo. Total
30;Evaluación de solicitud;0;Eval. sol.
30;Evaluación de solicitud (Abono);0;Eval. sol. (Abo.)
25;Tramite de Audiencia - Inadmisión;0;Tramite Audi. - Inadm.
25;Tramite de Audiencia (Anticipo);0;Tramite Audi. (Anticipo)
25;Tramite de Audiencia;0;Tramite Audi.
25;Trámite de audiencia (Abono);0;Trám. audiencia (Abo.)
10;Requerimiento de documentación (Abono);0;Req. doc. (Abo.)
10;Requerimiento de documentación;0;Req. doc.
1;Presentación y Revisión de la solicitud;0;Present. Revisión sol.
1;Presentación de Solicitud de Abono;0;Present. Sol. Abo.
