NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
332;Resolución Archivo Retirada;0;Resol. Archivo Retirada
332;Resolución Archivo Retirada-Cancelación;0;Resol. Archivo Retirada-Cancelación
331;Resolución de Retirada Temporal;0;Resol. Retirada Temporal
331;Resolución de Retirada Temporal o Cancelación;0;Resol. Retirada Temporal o Cancelación
327;Devolución tarjeta Retirada;0;Dev. tarjeta Retirada
266;Comunicación de Acta de Irregularidades;0;Comunicación Acta Irregularidades
90;Presentación de Recurso de Alzada ;0;Present. Recur. Alzada 
54;Resolución de Revocación de Resolución de Retirada Temporal o Cancelación;0;Resol. Revocación Resol. Retirada Temporal o Cancelación
25;Comunicación Inicio Retirada/Candelación y de Audiencia;0;Comunicación Inic. Retirada/Candelación de Audi.
25;Comunicación Inicio Retirada por no devolución tarjeta y Audiencia;0;Comunicación Inic. Retirada no devolución tarjeta Audi.
