NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
286;Presentación de solicitud de desistimiento;1;Present. sol. desistimiento
100;Fin de procedimiento;1;Fin proc.
52;Resolución de Desistimiento;1;Resol. Desist.
284;Propuesta Provisional de Resolución de Procedimiento;0;Prop. Provis. Resol. proc.
278;Resolución Pérdida de Derecho al Cobro;0;Resol. Pérd. Dere. Cobr.
82;Pago;0;Pag.
73;Requerimiento de documentación de justificación;0;Req. doc. justif.
70;Justificación ;0;Justif. 
55;Resolución Inadmisión por duplicidad;0;Resol. Inadm. duplicidad
53;Resolución de Renuncia;0;Resol. Renun.
51;Resolución Desfavorable;0;Resol. Desfavorable
50;Resolución Favorable;0;Resol. Favorable
43;Propuesta Definitiva Resolución Desfavorable;0;Prop. Defin. Resol. Desfavorable
42;Propuesta Definitiva Resolución Favorable;0;Prop. Defin. Resol. Favorable
30;Evaluación y Valoración ;0;Eval. Valoración 
21;Presentación de renuncia;0;Present. renuncia
10;Requerimiento de documentación;0;Req. doc.
1;Presentación de solicitud;0;Present. sol.
