NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin procedimiento;1;Fin proc.
303;Informe de cumplimiento de condiciones de SSPP;0;Inf. cumplimiento condiciones SSPP
301;Plazo Prorroga de un Mes;0;Plazo Prorroga un Mes
293;Informe de Calificación y Calificación Técnica;0;Inf. Calificación Calificación Técnica
286;Presentación de solicitud de desistimiento;0;Present. sol. desistimiento
278;Resolución de pérdida de derecho al cobro total;0;Resol. pérdida derecho cobro total
242;Valoración solicitud;0;Valoración sol.
155;Propuesta Resolución de Inadmisión;0;Prop. Resol. Inadm.
82;Pago-Reconocimiento de obligación (ADO,O);0;Pag.-Reconocimiento obligación (ADO,O)
74;No justificado-Incumplimiento total;0;No justificado-Incumplimiento total
73;Requerimiento de documentación justificativa;0;Req. doc. justificativa
73;Requerimiento Documentación Justificativa;0;Req. Doc. Justif.
72;Justificación incompleta-Liquidación parcial;0;Justif. incompleta-Liq. parcial
71;Justificación completa-Liquidación total;0;Justif. completa-Liq. total
70;Presentación Documentación Justificativa;0;Present. Doc. Justif.
55;Resolución de Inadmisión;0;Resol. Inadm.
53;Resolución de aceptación de renuncia;0;Resol. aceptación renuncia
52;Resolución Desistimiento;0;Resol. Desist.
51;Resolución Denegatoria por incumplimiento de requisitos;0;Resol. Deneg. incumplimiento requisitos
50;Resolución aprobatoria;0;Resol. aprobatoria
42;Propuesta definitiva resolución aprobatoria;0;Prop. definitiva res. aprobatoria
40;Propuesta provisional resolución aprobatoria;0;Prop. provisional res. aprobatoria
30;Evaluación Solicitud;0;Eval. Sol.
25;Trámite de audiencia en pérdida de derecho al cobro (SSCC);0;Trám. audiencia pérdida derecho cobro (SSCC)
25;Trámite de audiencia en pérdida de derecho al cobro;0;Trám. audiencia pérdida derecho cobro
25;Trámite de audiencia Propuesta provisional aprobatoria;0;Trám. audiencia Prop. provisional aprobatoria
21;Presentación de renuncia;0;Present. renuncia
10;Requerimiento Documentación Solicitud;0;Req. Doc. Sol.
1;Presentación de solicitud;0;Present. sol.
