NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
152;Propuesta Resolución de Desistimiento;0;Prop. Resol. Desist.
82;Orden a la CGD y Anotación;0;Orden la CGD Anotación
52;Resolución de Desistimiento;0;Resol. Desist.
51;Resolución Denegatoria;0;Resol. Deneg.
50;Resolución Aprobatoria;0;Resol. Aprobatoria
43;Propuesta de Resolución Denegatoria;0;Prop. Resol. Deneg.
42;Propuesta de Resolución Aprobatoria;0;Prop. Resol. Aprobatoria
30;Evaluación de solicitud;0;Eval. sol.
25;Trámite de audiencia;0;Trám. audiencia
10;Requerimiento de documentacion;0;Req. documentacion
1;Presentación de solicitud;0;Present. sol.
