NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
82;2º Pago;0;2º Pag.
82;1º Pago;0;1º Pag.
55;Resolución de Inadmisión;0;Resol. Inadm.
53;Resolución de renuncia;0;Resol. renuncia
52;Resolucion Desistimiento;0;Resol. Desist.
51;Resolucion Desfavorable;0;Resol. Desfavorable
50;Resolucion Favorable;0;Resol. Favorable
41;Propuesta de Resolucion Desfavorable Provisional;0;Prop. Resol. Desfavorable Provis.
40;Propuesta de resolucion Favorable Provisional;0;Prop. res. Favorable Provis.
35;Presentación de Informes ;0;Present. Inf.s 
30;Evaluación de Solicitud;0;Eval. Sol.
21;Presentación de renuncia;0;Present. renuncia
10;Requerimiento de documentación;0;Req. doc.
1;Presentación de solicitud de Subvención;0;Present. sol. Subvención
