NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
430;Carga manual información AEAT;1;Carga manual información AEAT
429;Carga Información Recibida AEAT;1;Carga Información Recibida AEAT
379;Devolución a iniciativa del preceptor;1;Dev. iniciativa preceptor
156;Inicio Procedimiento Reintegro;1;Inic. proc. Reintegro
100;Fin de procedimiento;1;Fin proc.
70;Presentación de Justificación;1;Present. Justif.
21;Presentación de renuncia;1;Present. renuncia
343;Solicitud Información AEAT;0;Sol. Información AEAT
301;Requerimiento del mes;0;Req. mes
286;Presentación de solicitud de desistimiento;0;Present. sol. desistimiento
155;Propuesta Resolución de Inadmisión;0;Prop. Resol. Inadm.
152;Propuesta Resolución de Desistimiento;0;Prop. Resol. Desist.
90;Presentacion de Recurso de Alzada;0;Present. Recur. Alzada
90;Presentación Recurso-Revisión expediente;0;Present. Recur.-Revisión expediente
82;Pago;0;Pag.
59;Resolución recurso de alzada;0;Resol. recurso alzada
55;Resolución de Inadmisión;0;Resol. Inadm.
52;Resolución Desistimiento;0;Resol. Desist.
51;Resolución Desfavorable;0;Resol. Desfavorable
50;Resolución Favorable;0;Resol. Favorable
43;Propuesta de Resolución Desfavorable;0;Prop. Resol. Desfavorable
42;Propuesta Definitiva Favorable;0;Prop. Defin. Favorable
41;Propuesta Provisional Desfavorable;0;Prop. Provis. Desfavorable
30;Evaluación Solicitud;0;Eval. Sol.
25;Trámite Audiencia;0;Trám. Audi.
10;Requerimiento documentación;0;Req. doc.
10;Requerimiento AEAT;0;Req. AEAT
1;Presentación de solicitud;0;Present. sol.
1;Presentación solicitud con datos AEAT;0;Present. sol. datos AEAT
