NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
304;Solicitud de Confirmación al Ministerio;0;Sol. Confirmación Ministerio
52;Resolución desistimiento solicitud del certificado;0;Resol. desistimiento sol. certificado
52;Resolución desistimiento solicitud de prórroga del certificado;0;Resol. desistimiento sol. prórroga certificado
51;Resolución denegatoria expedición de prórroga del certificado;0;Resol. denegatoria expedición prórroga certificado
51;Resolución denegatoria expedición del certificado;0;Resol. denegatoria expedición certificado
50;Resolución prórroga del certificado de denominación no coincidente;0;Resol. prórroga certificado denominación no coincidente
50;Resolución expedición del certificado de denominación no coincidente;0;Resol. expedición certificado denominación no coincidente
25;Trámite de audiencia solicitud de certificado;0;Trám. audiencia sol. certificado
25;Trámite de audiencia solicitud de prórroga del certificado;0;Trám. audiencia sol. prórroga certificado
1;Presentación de solicitud de certificado;0;Present. sol. certificado
1;Presentación de solicitud de prórroga del certificado;0;Present. sol. prórroga certificado
