NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
294;Informe Dirección General;0;Inf. Dirección General
286;Presentación de Solicitud de Desestimiento;0;Present. Sol. Desest.
242;Valoración de la Solicitud;0;Valoración la Sol.
155;Propuesta Resolución Inadmisión;0;Prop. Resol. Inadm.
55;Resolución de Inadmisión;0;Resol. Inadm.
52;Resolución Desestimiento;0;Resol. Desest.
51;Resolución Denegatoria;0;Resol. Deneg.
50;Resolución Aprobatoria;0;Resol. Aprobatoria
43;Propuesta Resolución Denegatoria;0;Prop. Resol. Deneg.
42;Propuesta de Resolución Aprobatoria;0;Prop. Resol. Aprobatoria
30;Evaluación de la Solicitud;0;Eval. la Sol.
25;Trámite de Audiencia;0;Trám. Audi.
25;Trámite de Audiencia a Otros Colectivos;0;Trám. Audi. Otros Colectivos
10;Requerimiento Documentación Solicitud;0;Req. Doc. Sol.
1;Presentación de la Solicitud;0;Present. la Sol.
