NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
100;Fin de procedimiento;1;Fin procedimiento
286;Presentación de solicitud de desistimiento;0;Present. solicitud desistimiento
276;Recogida Certificado de Profesionalidad;0;Recogida Certificado Profesionalidad
275;Notificación Recogida Certificado de Profesionalidad;0;Notif. Recogida Certificado Profesionalidad
273;Impresión de Certificado de Profesionalidad;0;Impresión Certificado Profesionalidad
265;Inscripción Registro Certificados de Profesionalidad y Unidades de Competencia;0;Inscripción Reg. Certificados Profesionalidad Unidades Competencia
52;Resolución de Desistimiento;0;Res. Desist.
51;Resolución desfavorable;0;Res. desfavorable
50;Resolución favorable;0;Res. favorable
30;Evaluación de la solicitud;0;Eval. la solicitud
10;Requerimiento de documentación;0;Req. documentación
1;Presentación de solicitud;0;Present. solicitud
