NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
100;Fin de procedimiento;1;Fin procedimiento
70;Documentación Final Justificativa;1;Doc. Final Justificativa
51;Resolución Desestimatoria;1;Res. Desest.
303;Informe de cumplimiento de requisitos;0;Inf. cumplimiento requisitos
294;Comisión Provincial y Regional;0;Comisión Provincial Regional
286;Presentación solicitud de desistimiento;0;Present. solicitud desistimiento
284;Propuesta Definitiva Conjunta;0;Prop. Def. Conjunta
284;Propuesta Provisional Conjunta;0;Prop. Prov. Conjunta
251;Mesa técnica;0;Mesa técnica
242;Valoración Económica;0;Valoración Económica
242;Revaloración Económica;0;Revaloración Económica
152;Propuesta de desistimiento;0;Prop. desistimiento
70;Documentación Inicial Justificativa;0;Doc. Inicial Justificativa
55;Resolución de inadmisión;0;Res. inadmisión
52;Resolucion de desistimiento;0;Res. desistimiento
50;Resolución Estimatoria;0;Res. Est.
41;Propuesta Provisional Desestimatoria;0;Prop. Prov. Desest.
40;Propuesta Provisional Estimatoria;0;Prop. Prov. Est.
30;Revisión requisitos y valoración técnica;0;Revisión requisitos valoración técnica
25;Requerimiento y Subsanación de Requisitos;0;Req. Subsanación Req.
15;Alegaciones y Reformulación;0;Alegaciones Reformulación
10;Requerimiento de documentación;0;Req. documentación
1;Presentación y revisión de la solicitud;0;Present. revisión la solicitud
